,sequence,res_scheme,bitrate,chunk,q_0,q_1,q_2,q_3,q_4,q_5,d_0,d_1,d_2,d_3,d_4,d_5,b_0,b_1,b_2,b_3,b_4,b_5
1795,v20_Survivorman2,sp4,3537,7,30.9521836421,30.1746166452,30.2867164106,30.4092818568,29.2682151289,30.3512210022,52.2055220869,62.4344304197,60.8407870276,59.15207693,76.9209386922,59.9462445775,6011.795999999999,6001.236,6040.888000000001,6079.96,6039.764,5883.664000000001
1796,v20_Survivorman2,sp4,5380,7,31.0803211738,30.177872848499998,30.3009932336,30.4329329127,29.2686467202,30.462209829000003,50.6846242007,62.3897692242,60.6414124736,58.829727541000004,76.9035604439,58.4385928172,9078.58,9158.764000000001,9153.204,9171.224,9202.348,8931.712
1797,v20_Survivorman2,sp4,8183,7,31.164679310100002,30.1724500429,30.307965374699997,30.445557457899998,29.267817290500002,30.5497199737,49.7137381497,62.479485085,60.5469847004,58.661404398100004,76.9216781767,57.2754385147,13624.152,14007.82,14084.06,13920.132,14060.024,13503.944
1798,v20_Survivorman2,sp4,12445,7,31.216725809,30.166774033299998,30.3076063454,30.4489423173,29.265360780399998,30.6289957652,49.118114192600004,62.578162284499996,60.5542934551,58.6156269707,76.964662395,56.233981031400006,20744.2,21568.156000000003,21827.576,21247.22,21649.347999999998,20311.96
1799,v20_Survivorman2,sp4,14312,7,31.227524227600004,30.165674247600002,30.3029713498,30.4461812287,29.265399111999997,30.6562966617,48.9981607096,62.5990497267,60.6280995674,58.653768104499996,76.9604104597,55.88449085680001,23674.064,24332.843999999997,25330.412,24687.112,24518.16,23304.416
1800,v20_Survivorman2,sp4,500,8,29.9466619051,29.9511040426,30.016733058299998,30.0226910121,29.2260177413,29.7217722233,65.8039503268,65.73057122899999,64.7441109263,64.6544351898,77.6620300665,69.2968374808,935.832,919.1239999999999,937.9839999999999,944.8760000000001,929.24,927.988
1801,v20_Survivorman2,sp4,760,8,30.177527689,30.0709913002,30.1248625419,30.160644201,29.2484484666,29.8658408869,62.4027326358,63.939023913,63.151095965799996,62.6298714455,77.2639609271,67.03944638819999,1372.5279999999998,1365.896,1373.904,1387.476,1383.34,1359.164
1802,v20_Survivorman2,sp4,1005,8,30.3239817969,30.0988084019,30.1727134238,30.2318201567,29.2487067221,29.978340303299998,60.3340773824,63.5316063104,62.4629325112,61.6152143224,77.2533970561,65.3202219096,1792.432,1780.36,1798.5720000000001,1809.72,1798.996,1759.9360000000001
1803,v20_Survivorman2,sp4,1529,8,30.550043634,30.1359347898,30.219280290700002,30.310244431300003,29.2513003808,30.102947946999997,57.2783217909,62.9938152815,61.793232396099995,60.5137930825,77.2128505007,63.4778037087,2668.008,2657.3759999999997,2662.804,2689.864,2667.472,2626.04
1804,v20_Survivorman2,sp4,2326,8,30.769156232199997,30.166042972,30.259357720500002,30.3779687358,29.2625525319,30.2402450925,54.4566937117,62.553631018100006,61.2232040288,59.5817660607,77.009744491,61.4934332763,4016.132,3987.6679999999997,4017.232,4050.488,3982.468,3933.888
1805,v20_Survivorman2,sp4,3537,8,30.9708473459,30.180373137199997,30.287496063600003,30.425552370100004,29.2654585031,30.3697731636,51.983991472700005,62.3522713884,60.8321128657,58.93178422890001,76.9606642647,59.695456507799996,6011.795999999999,6001.236,6040.888000000001,6079.96,6039.764,5883.664000000001
1806,v20_Survivorman2,sp4,5380,8,31.126819064,30.1845767752,30.3029239248,30.4558957681,29.2663992739,30.4774743527,50.1499353601,62.2905425021,60.612199285699994,58.519047149799995,76.94450903810001,58.23226355560001,9078.58,9158.764000000001,9153.204,9171.224,9202.348,8931.712
